,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,Isotherm 2 >>,,P/P0,Amount Adsorbed,Fit,
,,,,,,,2.321094e+002,2.570520e-005,5.925255e-001,2.214921e-003,1.879379e+003,,,,,,,,,,,
,,,,,,,2.381233e+002,2.394573e-005,5.926747e-001,2.011204e-003,1.879391e+003,,,,,,,,,,,
,,,,,,,2.442931e+002,2.231537e-005,5.928174e-001,1.826934e-003,1.879403e+003,,,,,,,,,,,
,,,,,,,2.506227e+002,2.089126e-005,5.929539e-001,1.667148e-003,1.879414e+003,,,,,,,,,,,
,,,,,,,2.571163e+002,1.978599e-005,5.930858e-001,1.539069e-003,1.879425e+003,,,,,,,,,,,
,,,,,,,2.637782e+002,1.909643e-005,5.932150e-001,1.447916e-003,1.879434e+003,,,,,,,,,,,
,,,,,,,2.706127e+002,1.889093e-005,5.933445e-001,1.396160e-003,1.879444e+003,,,,,,,,,,,
,,,,,,,2.776242e+002,1.918250e-005,5.934777e-001,1.381904e-003,1.879454e+003,,,,,,,,,,,
,,,,,,,2.848175e+002,2.001048e-005,5.936184e-001,1.405144e-003,1.879464e+003,,,,,,,,,,,
,,,,,,,2.921971e+002,2.135099e-005,5.937707e-001,1.461410e-003,1.879474e+003,,,,,,,,,,,
,,,,,,,2.997679e+002,2.317297e-005,5.939390e-001,1.546061e-003,1.879486e+003,,,,,,,,,,,
,,,,,,,3.075349e+002,2.544583e-005,5.941274e-001,1.654826e-003,1.879498e+003,,,,,,,,,,,
,,,,,,,3.155031e+002,2.799746e-005,5.943401e-001,1.774782e-003,1.879512e+003,,,,,,,,,,,
,,,,,,,3.236778e+002,3.080407e-005,5.945804e-001,1.903379e-003,1.879527e+003,,,,,,,,,,,
,,,,,,,3.320642e+002,3.366668e-005,5.948508e-001,2.027721e-003,1.879543e+003,,,,,,,,,,,
,,,,,,,3.406680e+002,3.637942e-005,5.951523e-001,2.135770e-003,1.879561e+003,,,,,,,,,,,
,,,,,,,3.494947e+002,3.872018e-005,5.954843e-001,2.215781e-003,1.879581e+003,,,,,,,,,,,
,,,,,,,3.585501e+002,4.042587e-005,5.958433e-001,2.254964e-003,1.879601e+003,,,,,,,,,,,
,,,,,,,3.678401e+002,4.120499e-005,5.962233e-001,2.240375e-003,1.879622e+003,,,,,,,,,,,
