,,,,,,,w,dV/dw,V cum,dS/dw,S cum,,,P/P0,Amount Adsorbed,Fit,,,,,,
,,,,,,,1.225490e+002,1.897522e-004,9.257909e-001,3.096756e-002,1.963625e+003,,,,,,,,,,,
,,,,,,,1.256097e+002,1.796792e-004,9.263561e-001,2.860913e-002,1.963717e+003,,,,,,,,,,,
,,,,,,,1.287468e+002,1.697585e-004,9.269043e-001,2.637091e-002,1.963803e+003,,,,,,,,,,,
,,,,,,,1.319623e+002,1.599694e-004,9.274344e-001,2.424471e-002,1.963884e+003,,,,,,,,,,,
,,,,,,,1.352580e+002,1.499738e-004,9.279451e-001,2.217596e-002,1.963961e+003,,,,,,,,,,,
,,,,,,,1.386361e+002,1.398116e-004,9.284346e-001,2.016958e-002,1.964032e+003,,,,,,,,,,,
,,,,,,,1.420986e+002,1.295879e-004,9.289009e-001,1.823916e-002,1.964099e+003,,,,,,,,,,,
,,,,,,,1.456475e+002,1.193899e-004,9.293426e-001,1.639437e-002,1.964160e+003,,,,,,,,,,,
,,,,,,,1.492851e+002,1.095155e-004,9.297587e-001,1.467199e-002,1.964216e+003,,,,,,,,,,,
,,,,,,,1.530135e+002,1.002411e-004,9.301494e-001,1.310226e-002,1.964268e+003,,,,,,,,,,,
,,,,,,,1.568351e+002,9.186950e-005,9.305161e-001,1.171543e-002,1.964315e+003,,,,,,,,,,,
,,,,,,,1.607520e+002,8.470021e-005,9.308614e-001,1.053800e-002,1.964359e+003,,,,,,,,,,,
,,,,,,,1.647668e+002,7.900383e-005,9.311895e-001,9.589772e-003,1.964399e+003,,,,,,,,,,,
,,,,,,,1.688819e+002,7.501349e-005,9.315057e-001,8.883544e-003,1.964437e+003,,,,,,,,,,,
,,,,,,,1.730998e+002,7.292654e-005,9.318170e-001,8.425954e-003,1.964474e+003,,,,,,,,,,,
,,,,,,,1.774230e+002,7.289808e-005,9.321314e-001,8.217434e-003,1.964509e+003,,,,,,,,,,,
,,,,,,,1.818541e+002,7.490163e-005,9.324580e-001,8.237551e-003,1.964546e+003,,,,,,,,,,,
,,,,,,,1.863960e+002,7.904074e-005,9.328069e-001,8.480950e-003,1.964584e+003,,,,,,,,,,,
,,,,,,,1.910512e+002,8.518157e-005,9.331884e-001,8.917144e-003,1.964624e+003,,,,,,,,,,,
,,,,,,,1.958228e+002,9.316789e-005,9.336133e-001,9.515532e-003,1.964668e+003,,,,,,,,,,,
,,,,,,,2.007135e+002,1.028617e-004,9.340919e-001,1.024961e-002,1.964716e+003,,,,,,,,,,,
,,,,,,,2.057263e+002,1.136969e-004,9.346342e-001,1.105322e-002,1.964770e+003,,,,,,,,,,,
,,,,,,,2.108644e+002,1.255578e-004,9.352487e-001,1.190887e-002,1.964829e+003,,,,,,,,,,,
,,,,,,,2.161307e+002,1.378414e-004,9.359423e-001,1.275537e-002,1.964894e+003,,,,,,,,,,,
,,,,,,,2.215286e+002,1.499816e-004,9.367194e-001,1.354061e-002,1.964965e+003,,,,,,,,,,,
,,,,,,,2.270613e+002,1.613766e-004,9.375817e-001,1.421436e-002,1.965042e+003,,,,,,,,,,,
,,,,,,,2.327322e+002,1.717415e-004,9.385271e-001,1.475872e-002,1.965124e+003,,,,,,,,,,,
,,,,,,,2.385448e+002,1.803710e-004,9.395514e-001,1.512261e-002,1.965211e+003,,,,,,,,,,,
,,,,,,,2.445025e+002,1.870740e-004,9.406471e-001,1.530242e-002,1.965302e+003,,,,,,,,,,,
,,,,,,,2.506089e+002,1.917379e-004,9.418049e-001,1.530176e-002,1.965395e+003,,,,,,,,,,,
,,,,,,,2.568679e+002,1.942332e-004,9.430140e-001,1.512319e-002,1.965490e+003,,,,,,,,,,,
,,,,,,,2.632832e+002,1.945964e-004,9.442623e-001,1.478228e-002,1.965586e+003,,,,,,,,,,,
,,,,,,,2.698588e+002,1.928773e-004,9.455373e-001,1.429468e-002,1.965682e+003,,,,,,,,,,,
,,,,,,,2.765986e+002,1.891803e-004,9.468259e-001,1.367905e-002,1.965776e+003,,,,,,,,,,,
,,,,,,,2.835066e+002,1.837049e-004,9.481148e-001,1.295947e-002,1.965868e+003,,,,,,,,,,,
,,,,,,,2.905873e+002,1.765873e-004,9.493911e-001,1.215383e-002,1.965957e+003,,,,,,,,,,,
,,,,,,,2.978447e+002,1.680576e-004,9.506424e-001,1.128491e-002,1.966042e+003,,,,,,,,,,,
,,,,,,,3.052834e+002,1.583351e-004,9.518569e-001,1.037299e-002,1.966123e+003,,,,,,,,,,,
,,,,,,,3.129079e+002,1.476380e-004,9.530238e-001,9.436514e-003,1.966198e+003,,,,,,,,,,,
,,,,,,,3.207229e+002,1.362248e-004,9.541332e-001,8.494858e-003,1.966269e+003,,,,,,,,,,,
,,,,,,,3.287330e+002,1.242994e-004,9.551767e-001,7.562331e-003,1.966333e+003,,,,,,,,,,,
,,,,,,,3.369431e+002,1.120942e-004,9.561470e-001,6.653597e-003,1.966391e+003,,,,,,,,,,,
,,,,,,,3.453583e+002,9.982347e-005,9.570384e-001,5.780863e-003,1.966443e+003,,,,,,,,,,,
,,,,,,,3.539837e+002,8.768726e-005,9.578467e-001,4.954310e-003,1.966490e+003,,,,,,,,,,,
,,,,,,,3.628245e+002,7.586437e-005,9.585692e-001,4.181877e-003,1.966530e+003,,,,,,,,,,,
,,,,,,,3.718861e+002,6.453181e-005,9.592046e-001,3.470515e-003,1.966565e+003,,,,,,,,,,,
,,,,,,,3.811740e+002,5.383261e-005,9.597536e-001,2.824568e-003,1.966594e+003,,,,,,,,,,,
,,,,,,,3.906939e+002,4.389266e-005,9.602179e-001,2.246908e-003,1.966618e+003,,,,,,,,,,,
,,,,,,,4.004515e+002,3.482464e-005,9.606010e-001,1.739269e-003,1.966637e+003,,,,,,,,,,,
,,,,,,,4.104529e+002,2.672212e-005,9.609078e-001,1.302080e-003,1.966652e+003,,,,,,,,,,,
,,,,,,,4.207040e+002,1.966102e-005,9.611444e-001,9.346723e-004,1.966664e+003,,,,,,,,,,,
,,,,,,,4.312111e+002,1.364979e-005,9.613185e-001,6.330910e-004,1.966672e+003,,,,,,,,,,,
,,,,,,,4.419807e+002,8.718803e-006,9.614379e-001,3.945332e-004,1.966677e+003,,,,,,,,,,,
,,,,,,,4.530192e+002,4.841287e-006,9.615117e-001,2.137343e-004,1.966681e+003,,,,,,,,,,,
,,,,,,,4.643335e+002,2.126049e-006,9.615498e-001,9.157424e-005,1.966682e+003,,,,,,,,,,,
,,,,,,,4.759303e+002,6.145910e-007,9.615645e-001,2.582694e-005,1.966683e+003,,,,,,,,,,,
,,,,,,,4.878167e+002,0.000000e+000,9.615681e-001,0.000000e+000,1.966683e+003,,,,,,,,,,,
